team,address,lat,lng,venue,city
Arizona Diamondbacks,"P.O. Box 2095, Phoenix, AZ. 85001",33.452923,-112.038666,Chase Field,Phoenix
Atlanta Braves,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391235,SunTrust Park,Atlanta
Baltimore Orioles,"333 W. Camden Street, Baltimore, MD. 21201",39.285244,-76.6201,Oriole Park at Camden Yards,Baltimore
Boston Red Sox,"4 Yawkey Way, Boston, MA 02215",42.346615,-71.098816,Fenway Park,Boston
Chicago Cubs,"1060 Addison Street, Chicago, IL 60616",41.9472,-87.65641,Wrigley Field,Chicago
Chicago White Sox,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635086,Guaranteed Rate Field,Chicago
Cincinnati Reds,"100 Cinergy Field, Cincinnati, OH 45202",39.10718,-84.50771,Great American Ball Park,Cincinnati
Cleveland Indians,"2401 Ontario Street, Cleveland, OH 44115",41.495148,-81.68709,Progressive Field,Cleveland
Colorado Rockies,"Coors Field, 2001 Blake Street, Denver, CO 80205-2000",39.75698,-104.96533,Coors Field,Denver
Detroit Tigers,"Comerica Park, 2100 Woodward Ave., Detroit, MI 48201",42.346355,-83.059616,Comerica Park,Detroit
Houston Astros,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.36978,Minute Maid Park,Houston
Kansas City Royals,"P.O. Boz 419969, Kansas City, MO 64141",39.10222,-94.58356,Kauffman Stadium,Kansas City
Los Angeles Angels of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.88903,Angel Stadium of Anaheim,Anaheim
Los Angeles Dodgers,"1000 Elysian Park Ave., Los Angeles, CA 90012",34.072437,-118.24688,Dodger Stadium,Los Angeles
Miami Marlins,"2269 NW 199th Street, Miami, FL 33056",25.954428,-80.23817,Marlins Park,Miami
Milwaukee Brewers,"P.O. Box 3099, Milwaukee, WI 53201-3099",43.04205,-87.9056,Miller Park,Milwaukee
Minnesota Twins,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.25961,Target Field,Minneapolis
New York Mets,"Roosevelt Ave & 126th Street, New York, NY 11368",40.75535,-73.843216,Citi Field,New York
New York Yankees,"Yankee Stadium, E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.92994,Yankee Stadium,Bronx
Oakland Athletics,"Oakland Coliseum, 700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.19649,Oakland Coliseum,Oakland
Philadelphia Phillies,"P.O. Box 7575, Philadelphia, PA 19101",39.952312,-75.16239,Citizens Bank Park,Philadelphia
Pittsburgh Pirates,"600 Stadium Circle, Pittsburgh, PA 15212",40.461502,-80.00893,PNC Park,Pittsburgh
San Diego Padres,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.14364,Petco Park,San Diego
San Francisco Giants,"Pacific Bell Park, 24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389755,AT&T Park,San Francisco
Seattle Mariners,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330826,Safeco Field,Seattle
St. Louis Cardinals,"250 Stadium Plaza, St. Louis, MO 63102",38.629684,-90.18825,Busch Stadium,St. Louis
Tampa Bay Rays,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768488,-82.64819,Tropicana Field,Tampa Bay
Texas Rangers,"1000 Ballpark Way, Arlington, TX 76011",32.750156,-97.081116,Globe Life Park in Arlington,Arlington
Toronto Blue Jays,"1 Blue Jay Way, Suite 3200, Toronto, ONT M5V 1J1",43.64165,-79.3917,Rogers Centre,Toronto
Washington Nationals,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Nationals Park,Washington
